104.21.31.34:443#🇨🇦 | Toronto | ⬇️82.5MB/s | ❤️CF
104.19.214.219:443#🇨🇦 | Toronto | ⬇️82.4MB/s | ❤️CF
172.67.87.153:443#🇺🇸 | San Francisco⬇️ |77.5MB/s | ❤️CF
104.21.28.216:443#🇨🇦 | Toronto | ⬇️77.4MB/s | ❤️CF
104.19.221.201:443#🇨🇦 | Toronto | ⬇️76.1MB/s | ❤️CF
104.18.180.70:443#🇨🇦 | Toronto | ⬇️66.3MB/s | ❤️CF
162.159.160.150:443#🇫🇷 | Paris | ❤️CF
191.222.208.126:443#🇯🇵 | Tokyo | ❤️CT
191.222.216.74:443#🇭🇰 | Kwai Chung | ❤️CT
47.57.218.74:443#🇭🇰 | Hong Kong | ❤️CT
191.222.216.225:443#🇭🇰 | Kwai Chung | ❤️CT
103.198.203.246:443#🇭🇰 | Wan Chai | ❤️CT
8.222.70.238:443#🇯🇵 | Tokyo | ❤️CT
191.222.213.120:443#🇯🇵 | Tokyo | ❤️CT
8.222.84.103:443#🇯🇵 | Tokyo | ❤️CT
191.222.213.69:443#🇯🇵 | Tokyo | ❤️CT
191.222.213.116:443#🇯🇵 | Tokyo | ❤️CT
191.222.209.69:443#🇯🇵 | Tokyo | ❤️CT
191.222.210.36:443#🇯🇵 | Tokyo | ❤️CT
101.132.101.109:443#🇨🇳 | Shanghai | ❤️CT
45.89.235.39:443#🇯🇵 | Tokyo | ❤️CT
191.222.213.148:443#🇯🇵 | Tokyo | ❤️CT
191.222.212.110:443#🇯🇵 | Tokyo | ❤️CT
47.75.127.119:443#🇭🇰 | Hong Kong | ❤️CT
74.82.192.159:443#🇯🇵 | Tokyo | ❤️CT
103.198.203.181:443#🇭🇰 | Tung Chung | ❤️CT
8.211.132.111:443#🇯🇵 | Tokyo | ❤️CT
212.50.234.57:443#🇯🇵 | Osaka | ❤️CT
43.159.4.80:443#🇭🇰 | Hong Kong | ❤️CT
82.40.33.62:443#🇯🇵 | Tokyo | ❤️CT
45.194.21.235:443#🇭🇰 | Hong Kong | ❤️CT
45.94.41.19:443#🇸🇬 | Singapore | ❤️CT
156.239.5.242:443#🇭🇰 | Tseung Kwan O | ❤️CT
191.222.216.205:443#🇭🇰 | Kwai Chung | ❤️CT
191.222.212.50:443#🇯🇵 | Tokyo | ❤️CT
74.82.192.82:443#🇯🇵 | Tokyo | ❤️CT
191.222.213.93:443#🇯🇵 | Tokyo | ❤️CT
23.27.53.144:443#🇲🇾 | Kuala Lumpur | ❤️CT
74.82.192.146:443#🇯🇵 | Tokyo | ❤️CT
191.222.209.153:443#🇯🇵 | Tokyo | ❤️CT
191.222.212.246:443#🇯🇵 | Tokyo | ❤️CT
142.248.137.22:443#🇯🇵 | Tokyo | ❤️CT
103.255.209.67:443#🇭🇰 | Hong Kong | ❤️CT
142.248.139.188:443#🇯🇵 | Tokyo | ❤️CT
74.82.215.85:443#🇯🇵 | Tokyo | ❤️CT
47.75.112.96:443#🇭🇰 | Hong Kong | ❤️CT
140.235.10.219:443#🇸🇬 | Singapore | ❤️CT
142.248.139.237:443#🇯🇵 | Tokyo | ❤️CT
87.83.108.38:443#🇭🇰 | Hong Kong | ❤️CT
156.239.11.208:443#🇭🇰 | Tseung Kwan O | ❤️CT
82.40.34.116:443#🇯🇵 | Tokyo | ❤️CT
45.152.67.25:443#🇬🇧 | London | ❤️CT
205.186.67.17:10443#🇲🇾 | Kuala Lumpur | ❤️CU
64.90.29.94:10003#🇭🇰 | Hong Kong | ❤️CU
