IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.38.95,4,4,0.00,66.03,39.48,SIN
162.159.50.83,4,4,0.00,66.82,39.22,SIN
172.64.53.216,4,4,0.00,35.03,38.95,NRT
162.159.56.4,4,4,0.00,67.06,38.90,SIN
162.159.16.181,4,4,0.00,63.62,38.21,SIN
172.64.46.201,4,4,0.00,68.39,38.05,SIN
162.159.36.186,4,4,0.00,68.26,37.55,SIN
162.159.61.200,4,4,0.00,68.42,37.32,SIN
162.159.22.85,4,4,0.00,67.81,37.21,SIN
173.245.59.98,4,4,0.00,68.26,36.83,SIN
172.64.146.37,4,4,0.00,64.63,36.56,SIN
173.245.58.33,4,4,0.00,68.13,35.21,SIN
162.159.0.164,4,4,0.00,67.28,34.69,SIN
108.162.198.249,4,4,0.00,45.65,34.59,NRT
172.64.32.180,4,4,0.00,68.52,34.55,SIN
162.159.21.28,4,4,0.00,67.97,33.48,SIN
108.162.196.105,4,4,0.00,67.81,33.12,SIN
162.159.12.96,4,4,0.00,68.24,32.86,SIN
104.18.41.142,4,4,0.00,66.27,30.95,SIN
172.64.50.116,4,4,0.00,64.49,30.34,SIN
